,Group,Subject,Age,Sex,Height (m),Music listening hours/week,Perform/produce/compose music hours/week,Dance hours/week,Exercise (no dance) hours/week,Tiresome experience (1-5),Experience of motion (1-5),Experience of moving more to music (1-5),Eyes open?,Locked knees?,Mean QoM,Mean QoM w/oM,Mean QoM w M,NoMus-Mus Diff
0,A,1,23,M,1.72,5,30.0,1.0,7.0,3,3.0,2,1.0,1.0,8.27108248047836,7.95553431281131,8.58661292171608,0.63107860890477
1,A,2,24,M,1.67,10,10.0,2.0,10.0,1,2.0,2,1.0,1.0,11.2240958320109,10.6277625081598,11.820395655872,1.1926331477122
2,A,3,27,F,1.63,14,1.0,4.0,3.0,4,3.0,4,0.0,0.5,6.44134995122016,6.06369367387294,6.81898501311456,0.755291339241619
3,A,4,27,M,1.75,5,20.0,2.0,2.0,4,5.0,3,1.0,1.0,5.21617923605191,5.28918172074851,5.14318085238805,-0.14600086836046
4,A,9,24,F,1.64,15,0.0,2.0,6.0,2,2.0,1,1.0,1.0,5.15186987273361,4.94020242796377,5.36352542674194,0.423322998778169
5,A,10,24,M,1.81,10,7.0,0.0,5.0,3,3.0,4,1.0,1.0,6.11264376200137,6.0648190926454,6.16046574472917,0.0956466520837704
6,A,11,25,M,1.91,10,20.0,0.0,3.0,3,4.0,3,1.0,1.0,6.1383284463628,6.2065514971801,6.07010922808586,-0.13644226909424
7,A,12,22,F,1.72,24,14.0,5.0,2.0,2,3.0,3,0.0,0.5,6.60160892109113,6.83193110894864,6.37129967195543,-0.460631436993211
8,B,1,35,M,1.81,1,40.0,0.5,0.5,3,2.0,1,1.0,1.0,6.39677191310822,6.24178099867674,6.5517541206741,0.30997312199736
9,B,2,23,M,1.77,20,30.0,0.0,3.0,3,3.0,3,1.0,0.0,5.43922173786455,5.34422730556128,5.53421083370181,0.189983528140529
10,B,3,19,,1.75,10,5.0,0.0,1.0,3,3.0,3,0.5,0.5,6.93800371171009,7.20878994783196,6.66723268744347,-0.54155726038849
11,B,4,19,M,1.79,10,5.0,0.0,3.0,3,3.0,4,0.5,0.5,6.37009628701734,5.76096068769542,6.97919766716063,1.21823697946521
12,B,5,20,M,1.8,30,1.5,0.3,2.0,2,1.0,2,0.5,0.5,8.59899406160541,8.11510926782693,9.08285167237218,0.96774240454525
13,B,7,23,F,1.8,20,30.0,2.0,5.0,3,3.0,1,1.0,0.5,5.99186670259204,5.71399387784397,6.26972391738422,0.55573003954025
14,B,8,18,F,1.74,20,10.0,2.0,3.0,2,3.0,3,1.0,1.0,7.66826872284746,7.61423848797491,7.72229592248406,0.10805743450915
15,B,11,25,F,1.7,10,20.0,1.0,3.0,4,4.0,3,1.0,0.5,6.22238117734522,6.29810243887215,6.1466641695828,-0.151438269289351
16,B,12,18,M,1.64,20,5.0,0.0,2.0,3,4.0,4,1.0,1.0,5.03344942894903,5.05933818569717,5.00756212654377,-0.0517760591533998
17,C,1,21,M,1.76,16,10.0,1.0,5.0,1,3.0,3,1.0,0.5,8.51594172284174,8.92791324924433,8.10399333960678,-0.823919909637551
18,C,2,17,F,1.93,50,10.0,5.0,6.0,4,4.0,3,1.0,0.5,8.12727321281953,8.38247283157154,7.87208793031924,-0.510384901252301
19,C,3,27,F,1.72,30,4.0,1.0,2.0,3,5.0,4,0.0,1.0,6.7460886512261,6.99754598590697,6.49464544256825,-0.50290054333872
20,C,4,31,M,1.62,20,0.0,0.5,4.0,3,5.0,3,1.0,1.0,5.40626477046727,5.279602330152,5.53292009531477,0.25331776516277
21,C,5,25,F,1.89,14,8.0,6.0,4.0,1,2.0,1,1.0,1.0,6.92291715934759,6.65081178069591,7.195007252039,0.54419547134309
22,C,6,23,F,1.57,14,5.0,2.0,0.0,4,3.0,3,1.0,0.5,5.23665523585887,5.01050233912827,5.46279542808423,0.45229308895596
23,C,7,16,F,1.69,90,10.0,5.0,6.0,3,3.0,4,1.0,1.0,7.71131948839948,8.07418477020962,7.34847459113398,-0.725710179075639
24,C,8,25,M,1.7,25,5.0,0.5,3.0,4,4.0,4,1.0,0.5,8.26924764937651,8.37332433683553,8.16517680859408,-0.208147528241451
25,C,9,19,M,1.73,14,20.0,1.0,3.0,2,2.0,4,1.0,0.5,5.80159029698713,5.5806624478071,6.02250573518754,0.44184328738044
26,C,10,16,F,1.79,40,15.0,5.0,6.0,4,4.0,4,1.0,1.0,5.5882735483378,5.60841095902983,5.5681372688974,-0.0402736901324303
27,C,11,21,F,1.57,20,10.0,2.0,8.0,4,,4,1.0,1.0,7.68530441158151,7.56574147430359,7.80486063221782,0.23911915791423
28,C,12,24,M,1.65,2,3.0,0.0,0.0,2,4.0,3,1.0,1.0,5.61409671716634,5.41987231076626,5.80831021269586,0.3884379019296
29,D,1,17,F,1.77,15,0.0,4.0,19.0,2,3.0,1,1.0,0.5,5.42615262670168,5.47862251247394,5.37368568851015,-0.10493682396379
30,D,2,17,F,1.64,15,0.0,2.0,16.0,3,3.0,1,1.0,0.5,9.83265921910562,9.2337263777084,10.4315584144807,1.1978320367723
31,D,3,16,F,1.71,14,7.0,3.0,7.0,2,3.0,3,1.0,0.0,7.91569646156293,8.08410937749872,7.74729300649544,-0.33681637100328
32,D,4,18,F,1.85,25,0.0,1.0,1.0,2,4.0,2,0.5,0.0,4.95691115871826,4.99575833114243,4.91806616859696,-0.0776921625454703
33,D,5,18,F,1.61,10,1.0,5.0,1.0,3,2.0,2,1.0,1.0,6.10723842839384,6.08238581670492,6.132089643947,0.0497038272420802
34,D,7,18,F,1.69,18,2.0,4.0,1.0,2,2.0,5,1.0,0.0,5.57625506831496,5.08321121887915,6.06927122021411,0.98606000133496
35,D,8,18,M,1.6,25,10.0,4.0,7.0,2,3.0,2,1.0,1.0,6.40446595080842,6.57644722685339,6.23249433609008,-0.34395289076331
36,D,9,18,F,1.72,35,0.0,2.0,6.0,3,3.0,3,1.0,0.0,7.44439275490419,7.38309785705433,7.50568420941385,0.12258635235952
37,D,10,20,F,1.55,30,20.0,4.0,3.0,3,2.0,2,0.0,0.5,6.98297261287465,7.03013058731539,6.93581728760938,-0.0943132997060099
38,D,11,21,F,1.46,40,3.0,4.0,2.0,1,3.0,3,1.0,0.0,5.44781768382788,5.39644815541123,5.49918432647799,0.10273617106676
39,D,12,18,F,1.68,25,5.0,2.0,1.0,4,4.0,3,1.0,0.5,7.26744886671411,7.07817244764917,7.45671465286975,0.37854220522058
40,E,3,18,F,1.73,35,5.0,2.0,0.0,4,4.0,4,1.0,0.0,5.36410357769305,5.18725695719602,5.54094026354486,0.35368330634884
41,E,4,18,F,1.73,35,5.0,1.0,4.0,4,4.0,4,1.0,0.5,7.3815038121745,6.7601931202753,8.00277960093946,1.24258648066416
42,E,5,34,M,1.88,14,2.0,0.0,3.0,3,3.0,3,1.0,0.5,5.48102412243886,5.41163613608405,5.55040821081105,0.138772074727
43,E,6,29,M,1.87,20,5.0,0.0,0.0,1,3.0,1,1.0,1.0,5.28388148418761,5.43004368760215,5.13772749167155,-0.2923161959306
44,E,7,34,M,1.77,15,30.0,0.0,1.0,3,4.0,4,0.5,0.5,7.00467675442728,6.66387587447915,7.34545848933416,0.681582614855009
45,E,8,32,M,1.84,10,0.0,0.0,3.0,3,3.0,1,1.0,1.0,4.89022308092854,4.78672165084848,4.99371869664827,0.20699704579979
46,E,9,67,M,1.74,12,10.0,0.0,8.0,1,3.0,2,1.0,1.0,5.28925035871437,5.90554351781511,4.67299182087978,-1.23255169693533
47,E,10,43,F,1.81,6,0.0,10.0,2.0,1,3.0,2,0.5,1.0,8.52293715009532,8.59153761821467,8.45434053571859,-0.13719708249608
48,E,12,19,M,1.61,14,0.0,3.0,6.0,3,4.0,1,1.0,1.0,6.84367571089715,6.55948639366909,7.12784906333009,0.568362669661
49,F,5,38,M,1.81,8,15.0,0.0,2.0,2,2.0,2,1.0,0.5,4.32720853010338,4.0347464366114,4.6196541940636,0.5849077574522
50,F,8,24,M,1.85,14,7.0,4.0,2.0,3,2.0,5,1.0,0.5,7.41978573379734,6.97390630823603,7.86564011135995,0.89173380312392
51,F,9,21,M,1.83,45,20.0,4.0,2.0,4,2.0,2,1.0,0.5,5.57868574367785,5.76334783795353,5.39403402309428,-0.36931381485925
52,F,11,36,F,1.59,4,6.0,0.0,1.0,5,5.0,2,1.0,1.0,4.28888695824052,4.00598242517028,4.57177559869054,0.565793173520261
53,F,12,22,M,1.62,7,0.0,2.0,4.0,4,5.0,3,0.5,0.5,8.29316278323519,8.09211548732323,8.49419878498986,0.40208329766663
54,G,1,34,M,1.97,2,0.0,0.5,2.5,3,2.0,1,1.0,0.5,6.37831834499562,6.44075575490944,6.31588444260442,-0.12487131230502
55,G,2,16,M,1.75,30,0.0,2.0,20.0,4,3.0,4,0.5,1.0,7.40118640440823,7.05841226589111,7.74394128703302,0.68552902114191
56,G,3,16,M,1.81,10,3.0,1.0,9.0,3,3.0,5,1.0,0.5,8.63400345758819,8.13035160792285,9.13762701379556,1.00727540587271
57,G,4,16,M,1.74,30,0.0,4.0,15.0,3,4.0,4,1.0,1.0,7.01275505463479,6.35109153657059,7.67438140267936,1.32328986610877
58,G,5,57,M,1.74,10,0.0,4.0,5.0,1,2.0,3,1.0,0.5,6.37526782869536,6.49507088288061,6.25547150464073,-0.23959937823988
59,G,7,20,F,1.63,40,3.0,3.0,0.0,2,2.0,3,1.0,0.5,4.75018626543133,4.71537723999271,4.78499333541671,0.0696160954239993
60,G,8,26,F,1.85,40,2.0,2.0,3.0,3,3.0,1,1.0,0.5,5.45420187055149,5.35364679787008,5.55475129438889,0.20110449651881
61,G,9,24,M,1.86,2,0.0,2.0,0.0,3,3.0,2,1.0,1.0,5.02296282767606,4.86127204365338,5.18464452845715,0.32337248480377
62,G,10,22,M,1.63,25,0.0,0.0,0.0,2,3.0,4,1.0,0.0,4.85412910500045,4.98705479237091,4.72121088494577,-0.26584390742514
63,G,11,19,F,1.71,15,12.0,5.0,2.0,4,4.0,3,1.0,1.0,7.24112860782911,7.03165842133035,7.4505870270009,0.418928605670549
64,G,12,63,F,1.73,45,0.0,5.0,2.0,1,2.0,2,1.0,1.0,6.21461767140175,6.10881672017002,6.32041267909382,0.211595958923801
65,H,1,57,M,1.79,10,0.0,5.0,5.0,1,2.0,2,1.0,0.0,6.2745657759893,6.18471669736266,6.36440980719839,0.17969310983573
66,H,2,22,M,1.77,30,20.0,4.0,3.0,3,3.0,3,1.0,0.5,7.59368402126593,7.4278896870761,7.75946904169059,0.331579354614489
67,H,3,22,M,1.67,35,25.0,3.0,5.0,3,5.0,5,1.0,1.0,5.0637893873429,4.91678548162092,5.2107850348824,0.29399955326148
68,H,4,31,M,1.86,15,0.0,0.0,2.0,2,3.0,1,1.0,1.0,3.90260989112511,3.84485974539357,3.96035679264867,0.1154970472551
69,H,7,26,M,1.72,8,10.0,1.0,4.0,1,2.0,2,1.0,0.0,5.93567536815025,5.96470689936503,5.90664546782874,-0.0580614315362897
70,H,8,24,M,1.71,12,10.0,2.0,7.0,1,3.0,2,1.0,0.5,6.25867927926867,6.24014150695026,6.27721601019767,0.0370745032474105
71,H,9,65,F,1.73,4,0.0,2.0,2.0,2,3.0,2,1.0,1.0,4.61914750059044,4.45660494408758,4.78168092600196,0.32507598191438
72,H,10,45,F,1.67,5,0.0,0.0,3.0,1,3.0,1,1.0,0.5,6.05970101420239,6.46392418252235,5.65550055377355,-0.8084236287488
73,H,12,55,M,1.75,12,8.0,0.0,0.0,2,2.0,4,1.0,1.0,4.74255912104618,4.65647731184744,4.82863609445991,0.17215878261247
74,P,1,24,M,1.72,35,40.0,0.0,1.0,2,4.0,3,0.5,0.5,9.02233307525729,8.92602682960309,9.11863391075219,0.192607081149099
75,P,2,23,F,1.64,6,3.0,2.0,4.0,3,4.0,3,0.5,0.5,5.66262147418051,5.85434692907628,5.47090678977256,-0.383440139303721
76,P,3,51,F,1.52,10,10.0,0.0,0.5,1,2.0,2,0.5,0.5,4.59400122734463,4.4389878859925,4.74900586057126,0.31001797457876
77,P,4,24,F,1.73,3,0.0,1.0,0.5,3,4.0,3,0.5,0.5,7.74066986544584,7.74952691641596,7.73181331203485,-0.0177136043811101
78,P,5,21,M,1.76,3,10.0,0.5,3.0,2,3.0,2,0.5,0.5,7.14062018022204,7.14705214953396,7.13418857223639,-0.01286357729757
79,P,6,36,F,1.61,4,2.0,0.0,0.0,5,4.0,4,0.5,0.5,4.30113170031766,4.15178127346822,4.45047373716504,0.29869246369682
80,P,7,24,M,1.73,3,3.0,0.5,0.5,4,3.0,2,0.5,0.5,5.89000115511789,5.72305606819451,6.0569368636307,0.33388079543619
81,P,8,24,F,1.71,30,30.0,4.0,4.0,3,2.0,4,0.5,0.5,6.00439837669739,6.10563815023631,5.90316429046659,-0.202473859769721
82,P,9,22,F,1.66,20,6.0,3.0,1.0,2,3.0,2,0.5,0.5,5.05947477250227,5.10687438879342,5.01207781896132,-0.0947965698321003
83,P,10,22,M,1.89,7,7.0,0.0,4.5,5,3.0,1,0.5,0.5,10.2481761525425,9.66755783229428,10.8287618556163,1.16120402332202
84,P,11,27,F,1.61,20,14.0,4.0,2.0,1,4.0,3,0.5,0.5,6.18131003889631,6.33598671162778,6.02664205537741,-0.30934465625037
85,P,12,27,M,1.84,10,10.0,2.0,1.0,5,3.0,5,0.5,0.5,13.699610337059,9.08333242508399,18.3156289221471,9.23229649706311
86,P,13,31,F,1.59,24,2.0,1.0,2.0,2,3.0,4,0.5,0.5,4.64359649610829,4.63344722909762,4.65374519296745,0.0202979638698295
87,P,14,23,F,1.62,22,6.0,3.0,3.5,2,2.0,2,0.5,0.5,6.92982489455376,7.15216774486713,6.70749453471001,-0.44467321015712
88,P,15,38,M,1.8,20,30.0,0.0,2.0,3,2.0,2,0.5,0.5,4.23120598492716,4.23468744521035,4.22772472022068,-0.0069627249896697
89,P,16,22,M,1.69,3,40.0,1.0,3.0,2,3.0,2,0.5,0.5,6.50016972144018,6.31039734383821,6.68993143827169,0.379534094433479
90,P,17,24,M,1.67,16,14.0,3.5,1.0,1,3.0,4,0.5,0.5,5.46722342478654,5.04762655249131,5.8867967255481,0.83917017305679
